Country,TotalImports,TotalExports,TobaccoImports,TobaccoExports,PropTobaccoImports,PropTobaccoImportsQuartile,PropTobaccoExports,PropTobaccoExportsQuartile,TobaccoUsePercent,TobaccoUseQuartile
Togo,2260740966,1665137367,15327470,318900,0.006779843525,4,0.000191515731,2,6.2,1
Turkey,2.28E+11,2.48E+11,148752600,470514970,6.51E-04,2,1.90E-03,4,30.8,4
Uganda,7866761620,6048575655,14415780,7172260,0.001832492288,3,0.001185776687,3,6.3,1
Ukraine,75832830346,63448556040,47588210,332599640,0.0006275409975,2,0.005242036395,4,23.7,3
United Arab Emirates,2.96E+11,4.04E+11,643528760,4257730680,2.18E-03,3,1.05E-02,4,15,2
United Kingdom,9.19E+11,8.93E+11,426852570,3451310,4.65E-04,2,3.87E-06,1,7.7,1
United States,3.12E+12,2.52E+12,397105380,834693900,1.27E-04,1,3.31E-04,2,22.4,3
Uruguay,13383202587,16991760618,4630750,15701030,0.0003460120976,2,0.000924037853,3,20.8,3
Uzbekistan,26620511130,17026594789,1120880,13002260,0.00004210587823,1,0.0007636441791,3,17.4,2
Vietnam,253442000000,264610000000,11840,264655940,0.00000004671680306,1,0.001000173614,3,25.5,4
Yemen,10485642191,1561767813,15957650,,0.001521857194,3,,,21.5,3
Zambia,7961078355,8073235066,967370,142260,0.000121512433,1,0.00001762118888,1,12.1,1
Zimbabwe,6176926696,6026541180,8310,15357640,0.000001345329224,1,0.002548334035,4,9.9,1
