"Country","ALPHA3","TotalImports","TotalExports","TobaccoImports","TobaccoExports","PropTobaccoImports","PropTobaccoImportsQuartile","PropTobaccoExports","PropTobaccoExportsQuartile","TobaccoUseMale","TobaccoUseFemale","TobaccoUseAll","TobaccoUseQuartile","LungCancerRateMale","LungCancerRateFemale","LungCancerRateAll","LungCancerRateQuartile","LungCancerRateAllQuartileReadable","PropTobaccoExportsQuartileReadable","PropTobaccoImportsQuartileReadable","TobaccoUseQuartileReadable"
"Japan","JPN",9.09e+11,8.94e+11,2237050810,121895040,0.00246,3,0.000136,2,29.2,8.3,18.4,2,41.4,15.6,28.5,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","12.175% - 20.35%"
"Jordan","JOR",21963521127,16170140845,555480,1292290,2.529102673e-05,1,7.991828967e-05,2,57,12.6,35,4,32,6,19,3,"15.25% - 28.95%","0% - 0.001%","0% - 0.001%","25.325% - 43.8%"
"Kazakhstan","KAZ",51629142257,66197683955,100837030,82738560,0.001953102949,3,0.001249870918,3,41.5,6.9,23.3,3,43.8,6.5,25.15,3,"15.25% - 28.95%","0.001% - 0.002%","0.001% - 0.002%","20.35% - 25.325%"
"Kenya","KEN",20408671438,11471390332,1689940,66181440,8.280499812e-05,1,0.005769260576,4,17.8,2.3,9.9,1,3.6,2.3,2.95,1,"0.19% - 5.4%","0.002% - 0.048%","0% - 0.001%","3.3% - 12.175%"
"Korea, Rep.","KOR",6.02e+11,6.49e+11,56228350,717409120,9.33e-05,1,0.00111,3,54.9,27.8,20.7,3,41.7,17.2,29.45,4,"28.95% - 59.4%","0.001% - 0.002%","0% - 0.001%","20.35% - 25.325%"
"Kuwait","KWT",61138060277,72583928854,276408580,4440170,0.004521055767,4,6.117290797e-05,1,34.3,2.4,22.5,3,8.7,5.3,7,2,"5.4% - 15.25%","0% - 0.001%","0.002% - 0.04%","20.35% - 25.325%"
"Kyrgyz Republic","KGZ",5689780525,3125631006,73442690,21833200,0.01290782477,4,0.006985213532,4,34.3,2.4,26.9,4,26.8,5,15.9,3,"15.25% - 28.95%","0.002% - 0.048%","0.002% - 0.04%","25.325% - 43.8%"
"Lao PDR","LAO",5.797e+09,5.809e+09,24145300,65791120,0.00416513714,4,0.01132572216,4,51.6,3.5,30.8,4,29.4,10.2,19.8,3,"15.25% - 28.95%","0.002% - 0.048%","0.002% - 0.04%","25.325% - 43.8%"
"Latvia","LVA",20771264044,20529337766,74820520,27317390,0.00360211684,4,0.001330651301,3,50.5,19.9,33.6,4,51.8,9.6,30.7,4,"28.95% - 59.4%","0.001% - 0.002%","0.002% - 0.04%","25.325% - 43.8%"
"Lebanon","LBN",21820628748,10681277028,71261060,216280,0.003265765658,4,2.024851518e-05,1,48.4,29.4,38.9,4,31.3,14.8,23.05,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","25.325% - 43.8%"
"Lesotho","LSO",2241741785,1124592315,15993160,10810,0.007134256098,4,9.612372284e-06,1,41.9,5.6,23.4,3,6.4,1.7,4.05,1,"0.19% - 5.4%","0% - 0.001%","0.002% - 0.04%","20.35% - 25.325%"
"Lithuania","LTU",39411592686,42289157135,69998580,731398300,0.001776091125,3,0.01729517327,4,42.1,17.8,28.8,4,52.6,9.2,30.9,4,"28.95% - 59.4%","0.002% - 0.048%","0.001% - 0.002%","25.325% - 43.8%"
"Luxembourg","LUX",1.23e+11,1.44e+11,113676830,83889600,0.000927,2,0.000582,3,22.4,19.3,20.8,3,40,18.2,29.1,3,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Madagascar","MDG",4820540078,4009166349,348390,680010,7.227198496e-05,1,0.0001696138151,2,42.1,12.8,27.3,4,1.4,0.8,1.1,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","25.325% - 43.8%"
"Malawi","MWI",2.94e+09,9.13e+08,3536770,NA,0.0012,3,NA,NA,14.9,2.6,8.5,1,2.4,1,1.7,1,"0.19% - 5.4%","missing","0.001% - 0.002%","3.3% - 12.175%"
"Malaysia","MYS",2.11e+11,2.38e+11,199741150,62213670,0.000947,2,0.000261,2,45.2,1.2,23.8,3,22.5,8.2,15.35,2,"15.25% - 28.95%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Maldives","MDV",4399141282,3894413425,18308380,NA,0.004161807686,4,NA,NA,47.8,6.4,33.8,4,18.9,6.1,12.5,2,"5.4% - 15.25%","missing","0.002% - 0.04%","25.325% - 43.8%"
"Mali","MLI",6558444719,4441938778,60726770,23670,0.009259324825,4,5.328754218e-06,1,15.6,0.9,8.2,1,5.5,1.5,3.5,1,"0.19% - 5.4%","0% - 0.001%","0.002% - 0.04%","3.3% - 12.175%"
