Country,ALPHA3,TotalImports,TotalExports,TobaccoImports,TobaccoExports,PropTobaccoImports,PropTobaccoImportsQuartile,PropTobaccoExports,PropTobaccoExportsQuartile,TobaccoUsePercent,TobaccoUseQuartile
Russian Federation,RUS,3.52E+11,4.81E+11,46365380,262045910,0.000132,1,0.000544,3,25.3,3
Rwanda,RWA,3741294412,2258781198,3444680,24350,0.000920719,2,1.08E-05,1,12.4,2
Samoa,WSM,440931665.4,321405538.6,200,504960,4.54E-07,1,0.001571099,3,26.1,4
Sao Tome and Principe,STP,1.48E+08,1.00E+07,179030,NA,0.001209662,3,NA,NA,5.3,1
Saudi Arabia,SAU,2.19E+11,2.86E+11,515799840,NA,0.00236,3,NA,NA,17.5,2
Senegal,SEN,9186797995,5846879269,1254150,31704510,0.000136517,1,0.005422467,4,6.5,1
Serbia,SRB,31394659932,26277880391,62016190,195499840,0.001975374,3,0.007439711,4,37.8,4
Seychelles,SYC,1701473287,1538980635,462260,18584960,0.000271682,1,0.012076149,4,21.3,3
Singapore,SGP,5.50E+11,6.58E+11,787278170,1060970560,0.00143,3,0.00161,3,16.8,2
Slovak Republic,SVK,96720447137,97140403446,182282930,1190,0.001884637,3,1.23E-08,1,30.1,4
Slovenia,SVN,40803659239,45490464656,80110250,441080,0.00196331,3,9.70E-06,1,19.9,2
South Africa,ZAF,1.04E+11,1.06E+11,98242460,129646960,0.000945,2,0.00122,3,20.2,2
Spain,ESP,4.46E+11,4.87E+11,1396701490,93996540,0.00313,4,0.000193,2,25,3
Sri Lanka,LKA,24569911488,19426214046,9263720,5723090,0.000377035,2,0.000294607,2,22.4,3
Sweden,SWE,2.33E+11,2.55E+11,126700550,7338490,0.000544,2,2.88E-05,1,24.3,3
Switzerland,CHE,3.93E+11,4.80E+11,19427760,531635980,4.95E-05,1,0.00111,3,23.7,3
Tajikistan,TJK,3408723663,1243452531,13348280,2475080,0.003915917,4,0.00199049,4,30.8,4
Thailand,THA,2.73E+11,3.24E+11,279803540,193519600,0.00103,2,0.000598,3,22.7,3
